	oob_score	n_estimators	min_weight_fraction_leaf	min_samples_split	min_samples_leaf	min_impurity_decrease	max_samples	max_leaf_nodes	max_features	max_depth	criterion	ccp_alpha	bootstrap	accuracy	average_precision	f1	precision	recall	roc_auc
172	False	75	0.0	5	1	0.0		1000.0	log2		gini	0.001	True	0.8600687026098612	0.7491873061781881	0.6070419540562187	0.8396667998498663	0.5549346879535558	0.8510430692290207
173	False	10	5.0	5	2	10.0	0.9	50.0	log2	1000.0	entropy	0.01	False						
174	False	100	0.0	10	2	1.0	0.1	10.0	log2	10.0	entropy	0.1	False						
175	True	25	0.0	2	2	0.5	0.75	200.0	sqrt	100.0	entropy	0.1	False						
176	False	50	1.0	10	5	10.0	0.1	500.0	log2	10.0	entropy	1.0	False						
177	False	10	1.0	2	2	1.0	0.25	500.0	auto		gini	0.0	True						
178	False	25	0.0	2	5	0.5	0.9	10.0	sqrt	10.0	gini	0.1	False						
179	False	10	1.0	10	1	1.0	1.0	200.0	log2	100.0	gini	0.0	False						
180	False	100	1.0	2	5	5.0	0.5	200.0	sqrt	100.0	gini	1e-05	True						
181	False	50	10.0	5	5	0.0	0.9	100.0	sqrt	1000.0	entropy	1e-05	False						
182	False	10	5.0	2	1	5.0	0.5		auto	1000.0	gini	0.1	False						
183	False	50	10.0	5	5	0.5	0.9	50.0	log2	1000.0	entropy	0.0	False						
184	False	75	5.0	10	1	5.0	0.75	10.0	log2		gini	0.001	True						
185	False	50	0.0	2	1	5.0	0.9	200.0	log2	1000.0	entropy	1.0	False						
186	False	25	5.0	2	5	0.5	0.1	100.0	auto		entropy	0.01	False						
187	False	25	1.0	10	2	5.0	0.25	500.0	auto	100.0	entropy	0.0	True						
188	False	50	10.0	2	5	0.0	0.75	1000.0	auto	10.0	gini	0.001	False						
189	False	75	5.0	10	1	10.0	0.1	50.0	auto	10.0	entropy	1e-05	False						
190	False	75	10.0	10	1	0.0	0.75	200.0	auto	10.0	gini	0.0001	False						
191	False	75	1.0	10	1	10.0	1.0	100.0	auto		gini	0.01	True						
