	shrinking	probability	kernel	gamma	degree	decision_function_shape	coef0	break_ties	C	accuracy	average_precision	f1	precision	recall	roc_auc
4034	True	False	linear	auto	5	ovr	0.1	False	1.0	0.8545808721880105	0.761221202875378	0.5665991376208397	0.8608132343846631	0.5132801161103048	0.8618217427037613
4035	False	False	poly	auto	5	ovo	0.01	False	0.005	0.7586862720455783	0.49151737016168634	0.0	0.0	0.0	0.7529630860160526
4036	False	True	rbf	auto	4	ovr	1.0	False	0.05	0.7586862720455783	0.7292549238851174	0.0	0.0	0.0	0.8490557294490007
4037	True	False	sigmoid	scale	3	ovo	0.001	False	0.001	0.7586862720455783	0.7082768998684547	0.0	0.0	0.0	0.8452397398010036
4038	True	False	linear	scale	5	ovo	1.0	True	10.0						
4039	False	False	poly	auto	3	ovo	10.0	False	0.001	0.8582338402245402	0.7440420882020093	0.5705672325177099	0.8836850649350649	0.5019593613933238	0.8502850298144683
4040	True	False	rbf	auto	4	ovo	1.0	False	1.0	0.8573205982154078	0.7252177256423649	0.5665754667268316	0.8808272946859903	0.49818577648766327	0.844222900309511
4041	True	True	linear	auto	4	ovr	5.0	False	0.5	0.8545808721880105	0.7519844524517542	0.5665991376208397	0.8608132343846631	0.5132801161103048	0.8633539965376746
4042	False	True	sigmoid	auto	3	ovr	0.1	True	0.1	0.7586862720455783	0.7253741370242988	0.0	0.0	0.0	0.8425153443964538
4043	True	True	sigmoid	scale	5	ovo	1.0	False	10.0	0.7458506137153869	0.4371817481322349	0.4681120038649553	0.4734073260647894	0.46894049346879535	0.7252824068407155
4044	True	True	rbf	scale	4	ovr	0.001	True	0.001	0.7586862720455783	0.7254357611942857	0.0	0.0	0.0	0.8442513158584994
4045	True	False	sigmoid	scale	5	ovo	10.0	True	0.005						
4046	True	False	sigmoid	auto	2	ovo	5.0	False	5.0	0.7586862720455783	0.6720473801564212	0.0	0.0	0.0	0.8341825939461766
4047	True	True	linear	auto	5	ovo	0.1	False	5.0	0.8545808721880105	0.7535855047574893	0.5665991376208397	0.8608132343846631	0.5132801161103048	0.8605150646125868
4048	False	True	rbf	scale	5	ovr	1.0	False	10.0	0.8490930417661599	0.7105812894405115	0.5832147366061761	0.7319963768115942	0.5134978229317853	0.8289296518439505
4049	True	False	poly	scale	4	ovr	1.0	True	0.5	0.8518285786100289	0.7055869560709118	0.589503259831931	0.7259498834498834	0.5248185776487664	0.8315224613985694
4050	False	False	rbf	scale	4	ovr	0.1	False	0.01	0.7586862720455783	0.7225329025708092	0.0	0.0	0.0	0.8442810428943641
4051	False	True	sigmoid	scale	2	ovo	5.0	False	5.0	0.7586862720455783	0.5822003931156843	0.0	0.0	0.0	0.8223376816409325
4052	False	True	sigmoid	auto	5	ovr	10.0	True	0.01	0.7586862720455783	0.6740423946649698	0.0	0.0	0.0	0.8304579712172346
4053	True	False	linear	auto	3	ovo	0.01	True	1.0						
4054	True	True	poly	scale	5	ovr	0.01	False	0.001	0.7586862720455783	0.49909336236924207	0.0	0.0	0.0	0.7541482329900152
4055	True	True	poly	scale	5	ovo	1.0	False	0.01	0.8363160320053622	0.6975958581208028	0.4922897938131192	0.8255270655270655	0.38127721335268505	0.8230638082081592
4056	True	True	linear	scale	4	ovr	0.01	False	0.1	0.8545808721880105	0.7440054711439157	0.5665991376208397	0.8608132343846631	0.5132801161103048	0.8554168779617746
4057	False	False	rbf	scale	1	ovo	10.0	True	0.001						
4058	False	True	poly	scale	5	ovo	5.0	True	5.0						
4059	True	True	rbf	scale	2	ovr	0.01	False	0.005	0.7586862720455783	0.7216685824409899	0.0	0.0	0.0	0.8440725164810186
4060	False	True	poly	scale	5	ovo	0.01	False	0.01	0.7577688408529177	0.5183281728950349	0.0	0.0	0.0	0.7618523440642104
4061	False	False	linear	auto	2	ovr	0.001	False	0.1	0.8545808721880105	0.7440054711439157	0.5665991376208397	0.8608132343846631	0.5132801161103048	0.8554168779617746
4062	False	True	linear	auto	4	ovo	0.1	True	0.01						
4063	True	True	linear	scale	5	ovo	0.001	True	0.01						
4064	True	False	linear	scale	2	ovo	0.0	False	0.1	0.8545808721880105	0.7440054711439157	0.5665991376208397	0.8608132343846631	0.5132801161103048	0.8554168779617746
4065	False	True	sigmoid	auto	5	ovo	1.0	True	0.005						
4066	False	True	linear	scale	2	ovr	0.001	True	1.0	0.8545808721880105	0.761221503487647	0.5665991376208397	0.8608132343846631	0.5132801161103048	0.8617976987776943
4067	True	True	sigmoid	scale	3	ovr	5.0	True	0.005	0.7586862720455783	0.5892366385792215	0.0	0.0	0.0	0.8278161994858972
4068	False	True	sigmoid	scale	3	ovr	1.0	False	10.0	0.7458506137153869	0.4371817481322349	0.4681120038649553	0.4734073260647894	0.46894049346879535	0.7252824068407155
4069	False	True	rbf	auto	5	ovr	0.0	True	0.1	0.7586862720455783	0.7290100985529049	0.0	0.0	0.0	0.849033434172102
4070	False	False	linear	scale	2	ovr	0.01	False	0.05	0.8545808721880105	0.7548365756037431	0.5665991376208397	0.8608132343846631	0.5132801161103048	0.8574920873625125
4071	False	True	rbf	scale	3	ovr	10.0	True	0.01	0.7586862720455783	0.7225329025708092	0.0	0.0	0.0	0.8442810428943641
4072	False	True	linear	scale	2	ovo	0.01	False	10.0	0.8545808721880105	0.7602160059787091	0.5665991376208397	0.8608132343846631	0.5132801161103048	0.8622925664923846
4073	False	True	poly	scale	3	ovr	10.0	False	0.05	0.8582380294080683	0.7475873240922206	0.5718266719573618	0.8794685990338165	0.5020319303338171	0.8529215555983003
4074	False	True	rbf	auto	2	ovo	0.001	True	0.1						
4075	False	False	linear	auto	4	ovr	0.01	False	0.01	0.7778685434208873	0.7418941250721026	0.14712314938730034	0.7666666666666667	0.08686502177068214	0.8507287495409797
4076	True	False	rbf	scale	2	ovr	5.0	True	5.0	0.8609777554354656	0.7236753694512857	0.5992669358061963	0.8111349448615351	0.521044992743106	0.8404803539265917
4077	True	True	linear	scale	5	ovo	0.0	True	0.001						
4078	False	False	rbf	auto	1	ovr	5.0	True	0.005	0.7586862720455783	0.7277653856512537	0.0	0.0	0.0	0.8469298092223758
4079	True	False	linear	auto	2	ovo	5.0	True	0.001						
4080	True	False	linear	auto	3	ovr	0.001	False	0.005	0.7586862720455783	0.7422194270247472	0.0	0.0	0.0	0.8509145435151346
