	power_t	penalty	loss	learning_rate	l1_ratio	eta0	epsilon	average	alpha	accuracy	average_precision	f1	precision	recall	roc_auc
7988	0.57	elasticnet	perceptron	invscaling	0.9	0.01	0.2	True	1e-06	0.8390599472162876	0.7335398346095504	0.5992333590108313	0.6885115864527629	0.5890420899854862	0.8313454106702572
7989	0.1	l2	squared_error	invscaling	0.9	0.001	0.7	False	0.01	0.8573205982154078	0.7334308461764755	0.5622338866033008	0.8968128645548001	0.4830914368650217	0.8486277475650061
7990	0.57	l1	squared_error	adaptive	0.0	0.001	0.1	False	0.1	0.764169913283901	0.7281090823652345	0.047547169811320754	0.37142857142857144	0.026487663280116112	0.8418241908125973
7991	0.5	elasticnet	perceptron	invscaling	0.9	0.001	0.1	True	1e-05	0.8491139876838005	0.7230569525382847	0.5913600179215703	0.8076792772444946	0.5399129172714079	0.8466342875128963
7992	0.5	l1	perceptron	constant	0.9	0.1	0.9	True	0.1	0.3098613380252188	0.15767269128763123	0.1347698812292526	0.09957112264822972	0.22402031930333818	0.21709785440747026
7993	0.9	elasticnet	squared_error	adaptive	0.45	0.0001	0.2	True	0.001	0.7742155753843576	0.7350693400227439	0.1189109413356632	1.0	0.06422351233671988	0.8455064087992026
7994	0.9	l2	log	optimal	0.3	0.01	0.5	True	0.001	0.863721670646391	0.7509230801527236	0.6102444058590376	0.8324965800273599	0.5361393323657475	0.8528848339657614
7995	0.57	l1	perceptron	adaptive	0.15	0.0001	0.2	True	0.01	0.3427925097398517	0.15627711767741403	0.11544349551868349	0.08353153510995434	0.19049346879535559	0.22222795390560793
7996	0.25	l1	squared_hinge	invscaling	0.6	1e-05	0.9	True	1e-05	0.7586862720455783	0.49261874003435285	0.0	0.0	0.0	0.6682322905555459
7997	0.5	l2	perceptron	adaptive	1.0	1e-05	0.2	True	0.1	0.8618993758116542	0.7450734872344387	0.6207822770374125	0.8110433604336043	0.5626269956458636	0.8531497543147918
7998	0.57	l1	perceptron	adaptive	0.9	1e-05	0.3	True	0.01	0.35929789284068536	0.156728849228168	0.09466208343912966	0.07197502053567888	0.1404208998548621	0.22559191774354312
7999	0.25	elasticnet	log	adaptive	0.15	1e-05	0.9	True	0.0001	0.7586862720455783	0.49793902988709904	0.0	0.0	0.0	0.6739307010334517
8000	0.5	elasticnet	perceptron	constant	1.0	0.01	0.9	False	1.0	0.7586862720455783	0.2413137279544217	0.0	0.0	0.0	0.5
8001	0.25	elasticnet	hinge	constant	0.45	1e-05	0.3	True	0.01	0.7586862720455783	0.4906398889669889	0.0	0.0	0.0	0.6638235088394216
8002	0.25	elasticnet	log	constant	0.15	1e-05	0.7	False	0.01	0.7586862720455783	0.5123975905061174	0.0	0.0	0.0	0.687266773917149
8003	0.5	l2	hinge	adaptive	0.45	0.1	0.7	True	1e-06	0.8591512714172008	0.7568830860465038	0.580628475090455	0.8732446914297952	0.5058055152394776	0.8570811548079108
8004	0.1	l1	squared_error	invscaling	0.0	1e-05	0.5	False	0.1	0.7586862720455783	0.4447934414534215	0.0	0.0	0.0	0.617816986378023
8005	0.25	l1	perceptron	adaptive	0.6	0.001	0.2	True	0.001	0.5639311298227975	0.2783984516165591	0.2930551698955765	0.23694995504971023	0.4120464441219158	0.4965945057443125
8006	0.57	l1	squared_error	optimal	0.0	0.01	0.3	False	0.01	0.41126052532361435	0.26599222337519024	0.2821603878000647	0.2024128371660053	0.4816400580551524	0.4097675170930456
8007	0.57	l2	squared_error	optimal	1.0	1e-05	0.9	True	1.0	0.7294625277533409	0.5420359103561004	0.08888888888888889	0.068	0.12830188679245283	0.7468117754035009
8008	0.5	elasticnet	modified_huber	optimal	0.75	1e-05	0.9	False	0.001	0.8545808721880107	0.7289433940389694	0.5735672386991674	0.862631118881119	0.5057329462989839	0.8382245964992043
8009	0.5	l1	squared_error	constant	0.6	0.01	0.5	True	0.01	0.5539022244564535	0.18644078400276398	0.12310114139530488	0.1176126339277127	0.13991291727140784	0.365221116687359
8010	0.9	elasticnet	modified_huber	constant	0.9	0.001	0.7	False	1e-05	0.8628042394537305	0.7522873624803958	0.5966447117220313	0.8723950898369501	0.5322206095791001	0.8562142619826185
8011	0.25	l2	perceptron	adaptive	0.75	0.001	0.9	False	1e-05	0.8061916132545767	0.6910040590380088	0.5877880873703154	0.6181185807656396	0.6158200290275763	0.81197955829122
8012	0.9	l1	log	adaptive	0.6	1e-05	0.7	False	0.001	0.7586862720455783	0.5151114440903914	0.0	0.0	0.0	0.689406683337122
8013	0.25	elasticnet	hinge	optimal	0.45	0.01	0.3	False	1.0	0.7586862720455783	0.2413137279544217	0.0	0.0	0.0	0.5
8014	0.25	elasticnet	perceptron	constant	0.3	0.0001	0.3	True	1.0	0.28699258514515524	0.15644225302146064	0.12870376463190836	0.0943325208055025	0.22039187227866472	0.2050168744644762
8015	0.9	elasticnet	hinge	constant	0.6	0.0001	0.9	False	0.0001	0.7723890913660927	0.7387104761866754	0.09593877820292915	0.6	0.056676342525399125	0.850615087345026
8016	0.5	elasticnet	hinge	adaptive	0.3	0.001	0.5	True	0.01	0.8573205982154078	0.7446092817153999	0.5657950771613953	0.8850731914698041	0.49441219158200295	0.8534990469862033
